link,name,type,canonical_name
/wiki/Felix_Bloch,Felix Bloch,PERSON,felix bloch
/wiki/Edward_Mills_Purcell,Edward Mills Purcell,PERSON,edward mills purcell
/wiki/Archer_John_Porter_Martin,Archer Martin,PERSON,archer martin
/wiki/Richard_Laurence_Millington_Synge,Richard Laurence Millington Synge,PERSON,richard laurence millington synge
/wiki/Selman_Waksman,Selman Waksman,PERSON,selman waksman
/wiki/Fran%C3%A7ois_Mauriac,François Mauriac,PERSON,francois mauriac
/wiki/Albert_Schweitzer,Albert Schweitzer,PERSON,albert schweitzer
/wiki/Frits_Zernike,Frits Zernike,PERSON,frits zernike
/wiki/Hermann_Staudinger,Hermann Staudinger,PERSON,hermann staudinger
/wiki/Hans_Adolf_Krebs,Hans Adolf Krebs,PERSON,hans adolf krebs
/wiki/Fritz_Albert_Lipmann,Fritz Albert Lipmann,PERSON,fritz albert lipmann
/wiki/Winston_Churchill,Winston Churchill,PERSON,winston churchill
/wiki/George_Marshall,George Marshall,PERSON,george marshall
/wiki/Max_Born,Max Born,PERSON,max born
/wiki/Walther_Bothe,Walther Bothe,PERSON,walther bothe
/wiki/Linus_Pauling,Linus Pauling,PERSON,linus pauling
/wiki/John_Franklin_Enders,John Franklin Enders,PERSON,john franklin enders
/wiki/Frederick_Chapman_Robbins,Frederick Chapman Robbins,PERSON,frederick chapman robbins
/wiki/Ernest_Hemingway,Ernest Hemingway,PERSON,ernest hemingway
/wiki/Cao_%E1%BB%A7y_Li%C3%AAn_H%E1%BB%A3p_Qu%E1%BB%91c_v%E1%BB%81_ng%C6%B0%E1%BB%9Di_t%E1%BB%8B_n%E1%BA%A1n,Cao ủy Liên Hợp Quốc về người tị nạn,ORGANIZATION,cao uy lien hop quoc ve nguoi ti nan
/wiki/Willis_Lamb,Willis Lamb,PERSON,willis lamb
/wiki/Polykarp_Kusch,Polykarp Kusch,PERSON,polykarp kusch
/wiki/Vincent_du_Vigneaud,Vincent du Vigneaud,PERSON,vincent du vigneaud
/wiki/Hugo_Theorell,Hugo Theorell,PERSON,hugo theorell
/wiki/Halld%C3%B3r_Laxness,Halldór Laxness,PERSON,halldor laxness
/wiki/John_Bardeen,John Bardeen,PERSON,john bardeen
/wiki/Walter_Houser_Brattain,Walter Houser Brattain,PERSON,walter houser brattain
/wiki/William_Shockley,William Shockley,PERSON,william shockley
/wiki/Cyril_Norman_Hinshelwood,Cyril Norman Hinshelwood,PERSON,cyril norman hinshelwood
/wiki/Nikolay_Semyonov,Nikolay Nikolayevich Semyonov,PERSON,nikolay nikolayevich semyonov
/wiki/Andr%C3%A9_Fr%C3%A9d%C3%A9ric_Cournand,André Frédéric Cournand,PERSON,andre frederic cournand
/wiki/Werner_Forssmann,Werner Forssmann,PERSON,werner forssmann
/wiki/Juan_Ram%C3%B3n_Jim%C3%A9nez,Juan Ramón Jiménez,PERSON,juan ramon jimenez
/wiki/Chen_Ning_Yang,Dương Chấn Ninh,PERSON,duong chan ninh
/wiki/Tsung-Dao_Lee,Lý Chính Đạo,PERSON,ly chinh ao
"/wiki/Alexander_R._Todd,_Baron_Todd",Alexander R. Todd,PERSON,alexander r todd
/wiki/Albert_Camus,Albert Camus,PERSON,albert camus
/wiki/Lester_B._Pearson,Lester B. Pearson,PERSON,lester b pearson
/wiki/Pavel_Cherenkov,Pavel Alekseyevich Cherenkov,PERSON,pavel alekseyevich cherenkov
/wiki/Ilya_Frank,Ilya Mikhailovich Frank,PERSON,ilya mikhailovich frank
/wiki/Igor_Tamm,Igor Yevgenyevich Tamm,PERSON,igor yevgenyevich tamm
/wiki/Frederick_Sanger,Frederick Sanger,PERSON,frederick sanger
/wiki/George_Wells_Beadle,George Wells Beadle,PERSON,george wells beadle
/wiki/Edward_Lawrie_Tatum,Edward Lawrie Tatum,PERSON,edward lawrie tatum
/wiki/Boris_Pasternak,Boris Leonidovich Pasternak,PERSON,boris leonidovich pasternak
/wiki/Dominique_Pire,Dominique Pire,PERSON,dominique pire
/wiki/Emilio_G._Segr%C3%A8,Emilio G. Segrè,PERSON,emilio g segre
/wiki/Owen_Chamberlain,Owen Chamberlain,PERSON,owen chamberlain
/wiki/Jaroslav_Heyrovsk%C3%BD,Jaroslav Heyrovský,PERSON,jaroslav heyrovsky
/wiki/Severo_Ochoa,Severo Ochoa,PERSON,severo ochoa
/wiki/Salvatore_Quasimodo,Salvatore Quasimodo,PERSON,salvatore quasimodo
/wiki/Donald_A._Glaser,Donald Arthur Glaser,PERSON,donald arthur glaser
/wiki/Willard_Libby,Willard Libby,PERSON,willard libby
/wiki/Frank_Macfarlane_Burnet,Frank Macfarlane Burnet,PERSON,frank macfarlane burnet
/wiki/Saint-John_Perse,Saint-John Perse,PERSON,saint-john perse
/wiki/Robert_Hofstadter,Robert Hofstadter,PERSON,robert hofstadter
/wiki/Rudolf_M%C3%B6ssbauer,Rudolf Mößbauer,PERSON,rudolf mo bauer
/wiki/Melvin_Calvin,Melvin Calvin,PERSON,melvin calvin
/wiki/Ivo_Andri%C4%87,Ivo Andrić,PERSON,ivo andric
/wiki/Dag_Hammarskj%C3%B6ld,Dag Hammarskjöld,PERSON,dag hammarskjold
/wiki/Lev_Landau,Lev Davidovich Landau,PERSON,lev davidovich landau
/wiki/Max_Perutz,Max Perutz,PERSON,max perutz
/wiki/John_Kendrew,John Kendrew,PERSON,john kendrew
/wiki/Francis_Crick,Francis Crick,PERSON,francis crick
/wiki/James_D._Watson,James D. Watson,PERSON,james d watson
/wiki/Maurice_Wilkins,Maurice Wilkins,PERSON,maurice wilkins
/wiki/John_Steinbeck,John Steinbeck,PERSON,john steinbeck
/wiki/Eugene_Wigner,Eugene Wigner,PERSON,eugene wigner
/wiki/Maria_Goeppert-Mayer,Maria Goeppert-Mayer,PERSON,maria goeppert-mayer
/wiki/J._Hans_D._Jensen,Johannes Hans Daniel Jensen,PERSON,johannes hans daniel jensen
/wiki/Karl_Ziegler,Karl Ziegler,PERSON,karl ziegler
/wiki/Giulio_Natta,Giulio Natta,PERSON,giulio natta
/wiki/Giorgos_Seferis,Giorgos Seferis,PERSON,giorgos seferis
/wiki/Li%C3%AAn_hi%E1%BB%87p_c%C3%A1c_H%E1%BB%99i_Ch%E1%BB%AF_th%E1%BA%ADp_%C4%90%E1%BB%8F_qu%E1%BB%91c_t%E1%BA%BF,Phong trào Chữ thập đỏ và Trăng lưỡi liềm đỏ quốc tế,UNKNOWN,phong trao chu thap o va trang luoi liem o quoc te
/wiki/Charles_Hard_Townes,Charles Townes,PERSON,charles townes
